record_id,account_id,project_id,predefined_health,free_text_details,timestamp,data_source
53,ACC041,PRJ040,Critical,Stakeholder confidence severely impacted.,2025-11-24T15:29:25.761712,PowerBI
54,ACC016,PRJ076,Good,Everything is progressing well.,2025-11-16T15:29:25.761716,Manual
55,ACC010,PRJ029,Critical,Stakeholder confidence severely impacted.,2025-10-15T15:29:25.761719,API
56,ACC036,PRJ088,Good,"Team morale is high, deliverables exceeding expectations.",2025-10-22T15:29:25.761723,PowerBI
57,ACC014,PRJ014,Warning,Delayed vendor input despite client praise.,2025-10-31T15:29:25.761726,PowerBI
58,ACC014,PRJ029,Warning,Budget fine but quality issues surfacing.,2025-09-20T15:29:25.761730,Manual
59,ACC028,PRJ099,Warning,Budget looks fine but,2025-11-27T15:29:25.761734,PowerBI
60,ACC037,PRJ063,Good,On schedule and under budget.,2025-10-09T15:29:25.761737,Manual
61,ACC020,PRJ089,Critical,Legal compliance issues discovered.,2025-11-24T15:29:25.761740,Manual
62,ACC009,PRJ009,Critical,Budget is close to the limit.,2025-11-10T15:29:25.761744,API
63,ACC049,PRJ049,Critical,"Budget exceeded by 40%, no additional funding.",2025-10-02T15:29:25.761747,PowerBI
64,ACC016,PRJ091,Good,Positive stakeholder reviews across all metrics.,2025-09-06T15:29:25.761750,PowerBI
65,ACC020,PRJ057,Critical,Project Alpha is on schedule. Budget utilization at 82%. Client expressed concerns about feature completeness. Team working overtime to address gaps.,2025-10-14T15:29:25.761754,Manual
66,ACC027,PRJ068,Good,Positive stakeholder reviews across all metrics.,2025-11-04T15:29:25.761757,API
67,ACC024,PRJ081,Critical,"Budget exceeded by 40%, no additional funding.",2025-10-16T15:29:25.761761,API
68,ACC004,PRJ077,Critical,"Critical resource resignation, no backup.",2025-10-06T15:29:25.761764,API
69,ACC042,PRJ025,Good,Positive stakeholder erviews across all metrics.,2025-10-07T15:29:25.761769,Manual
70,ACC026,PRJ044,Warning,Security audit passed with minor findings. Remediation in progress. No impact on go-live date. Stakeholders informed.,2025-09-04T15:29:25.761772,Manual
71,ACC042,PRJ042,Warning,Delayed vendor input despite client praise.,2025-09-04T15:29:25.761776,Manual
72,ACC025,PRJ013,Critical,Stakeholder confidence severely impacted.,2025-11-20T15:29:25.761779,Manual
73,ACC032,PRJ039,Good,"Resources optimally allocated, efficiency improved by 15%.",2025-11-25T15:29:25.761783,API
74,ACC017,PRJ088,Good,Critcal path impated by resourc shortage.,2025-09-03T15:29:25.761786,PowerBI
75,ACC038,PRJ088,Critical,"Budget exceeded by 40%, no additional funding.",2025-11-01T15:29:25.761790,API
76,ACC026,PRJ025,Good,"Team morale is high, deliverables exceeding expectations.",2025-11-28T15:29:25.761794,PowerBI
77,ACC040,PRJ091,Critical,Legal compliance issues discovered.,2025-09-12T15:29:25.761798,API
78,ACC030,PRJ035,Warning,Budget is close to the limit.,2025-10-22T15:29:25.761801,PowerBI
79,ACC030,PRJ092,Good,"Budget utilization at 75%, timeline on track.",2025-11-23T15:29:25.761804,API
80,ACC001,PRJ008,Critical,"Delivery on track, documentation severely lacking.",2025-09-29T15:29:25.761808,Manual
81,ACC032,PRJ074,Good,Delayed vendor input dsepite client praise.,2025-11-06T15:29:25.761813,API
82,ACC038,PRJ076,Critical,Critcal path impated by resourc shortage.,2025-12-02T15:29:25.761948,PowerBI
83,ACC046,PRJ061,Critical,Meeting deadlines but at cost of team burnout.,2025-11-03T15:29:25.761953,API
84,ACC001,PRJ056,Critical,Porject on schedle and budgett looks good.,2025-09-23T15:29:25.761956,PowerBI
85,ACC035,PRJ014,Critical,On track overall but budget concerns emerging.,2025-11-06T15:29:25.761960,PowerBI
86,ACC006,PRJ038,Good,"Team morale is high, deliverables exceeding expectations.",2025-10-20T15:29:25.761963,API
87,ACC044,PRJ083,Critical,"Team capacity stretched, overtime required.",2025-09-13T15:29:25.761973,PowerBI
88,ACC043,PRJ090,Warning,All milestones achieved on time.,2025-10-22T15:29:25.761977,API
89,ACC050,PRJ039,Critical,Legal compliance issues discovered.,2025-09-13T15:29:25.761980,PowerBI
90,ACC004,PRJ056,Warning,"Minor scope creep detected, monitoring closely.",2025-11-02T15:29:25.761984,Manual
91,ACC037,PRJ005,Good,"Resoruces allocted proprely, no blocekrs.",2025-10-21T15:29:25.761987,PowerBI
92,ACC029,PRJ091,Warning,"Milestone 3 delivered successfully. However, vendor delays impacting Milestone 4. Budget variance: +5%. Risk mitigation plan in review.",2025-10-30T15:29:25.761990,API
93,ACC013,PRJ037,Critical,Timeline slipped significantly.,2025-12-01T15:29:25.761994,API
94,ACC015,PRJ049,Warning,Communication gaps iwth offshore team identified.,2025-11-28T15:29:25.761999,PowerBI
95,ACC004,PRJ074,Critical,"Financials good, schedule slipping.",2025-10-15T15:29:25.762004,PowerBI
96,ACC035,PRJ016,Warning,Third-party dependency delayed by 2 weeks.,2025-11-03T15:29:25.762007,PowerBI
97,ACC012,PRJ026,Warning,"Budget variance at 10%, corrective action planned.",2025-09-13T15:29:25.762011,Manual
98,ACC010,PRJ053,Good,Evrything progresing well despte minor isues.,2025-11-20T15:29:25.762014,PowerBI
99,ACC036,PRJ025,Warning,Third-party dependency delayed by 2 weeks.,2025-10-22T15:29:25.762017,PowerBI
100,ACC042,PRJ031,Warning,Budget fine but quality issues surfacing.,2025-11-03T15:29:25.762020,Manual
101,ACC049,PRJ034,Warning,"Resoruces allocted proprely, no blocekrs.",2025-10-05T15:29:25.762024,API
102,ACC001,PRJ030,Critical,Timeline slipped significantly.,2025-11-02T15:29:25.762027,API
103,ACC029,PRJ012,Critical,Project at risk of cancellation.,2025-10-08T15:29:25.762031,API
104,ACC016,PRJ018,Critical,Timeline stable yet critical dependency at risk.,2025-10-27T15:29:25.762034,Manual
105,ACC047,PRJ091,Good,Timeline on track however the vendor,2025-09-30T15:29:25.762037,API
106,ACC024,PRJ033,Good,Budget looks fine but,2025-10-18T15:29:25.762041,PowerBI
107,ACC031,PRJ022,Warning,Resources adequate though skills gap identified.,2025-10-14T15:29:25.762044,PowerBI
108,ACC033,PRJ048,Good,"No blockers identified, smooth execution.",2025-11-01T15:29:25.762047,PowerBI
109,ACC003,PRJ051,Good,"Team morale is high, deliverables exceeding expectations.",2025-10-02T15:29:25.762050,Manual
110,ACC019,PRJ024,Good,Client satisfaction rating: 9/10.,2025-10-10T15:29:25.762054,Manual
111,ACC014,PRJ037,Warning,"Minor scope creep detected, monitoring closely.",2025-10-11T15:29:25.762057,API
112,ACC038,PRJ005,Warning,Budget looks fine but,2025-11-10T15:29:25.762060,Manual
113,ACC006,PRJ050,Critical,On schedule despite,2025-11-25T15:29:25.762064,API
114,ACC032,PRJ029,Good,"Resources optimally allocated, efficiency improved by 15%.",2025-09-28T15:29:25.762068,Manual
115,ACC007,PRJ066,Critical,Evrything progresing well despte minor isues.,2025-11-19T15:29:25.762071,PowerBI
116,ACC048,PRJ046,Warning,"Client escalation received, urgent intervention needed.",2025-10-18T15:29:25.762075,PowerBI
117,ACC036,PRJ004,Warning,Quality metrics slightly below target.,2025-10-23T15:29:25.762078,Manual
118,ACC037,PRJ045,Good,"Budget variance at 10%, corrective action planned.",2025-11-09T15:29:25.762082,Manual
119,ACC029,PRJ027,Warning,"Client requested additional features, timeline at risk.",2025-10-31T15:29:25.762085,Manual
120,ACC004,PRJ077,Good,"Team morale is high, deliverables exceeding expectations.",2025-09-07T15:29:25.762089,PowerBI
121,ACC015,PRJ001,Critical,"Critical resource resignation, no backup.",2025-11-23T15:29:25.762092,Manual
122,ACC021,PRJ015,Critical,Legal compliance issues discovered.,2025-09-16T15:29:25.762095,API
123,ACC050,PRJ100,Warning,Budget is close to the limit.,2025-10-20T15:29:25.762099,API
124,ACC004,PRJ094,Good,"Minor scope creep detected, monitoring closely.",2025-10-04T15:29:25.762102,Manual
125,ACC022,PRJ046,Warning,Phase 2 complete. Phase 3 kickoff delaeyd pending client sign-off. Resource transition planned for next sprint. Budget healthy.,2025-09-30T15:29:25.762108,Manual
126,ACC031,PRJ044,Critical,Delayed vendor input despite client praise.,2025-11-06T15:29:25.762111,PowerBI
127,ACC022,PRJ069,Warning,Quality metrics slightly below target.,2025-11-11T15:29:25.762116,Manual
128,ACC031,PRJ021,Good,"Team morale is high, deliverables exceeding expectations.",2025-09-12T15:29:25.762119,Manual
129,ACC014,PRJ061,Critical,Project at risk of cancellation.,2025-09-20T15:29:25.762122,API
130,ACC045,PRJ044,Warning,Slight delays due to vendor issues.,2025-09-15T15:29:25.762126,Manual
131,ACC017,PRJ036,Good,"Delyed due to vneder isues, recovry planed.",2025-10-02T15:29:25.762131,PowerBI
132,ACC043,PRJ014,Critical,Critcal path impated by resourc shortage.,2025-09-20T15:29:25.762134,Manual
133,ACC032,PRJ066,Critical,Budjet utilzation withtin limits.,2025-10-01T15:29:25.762137,API
134,ACC029,PRJ071,Good,Security audit passed with minor findings. Remediation in progress. No impact on go-live date. Stakeholders informed.,2025-11-24T15:29:25.762141,API
135,ACC011,PRJ010,Critical,Legal compliance issues discovered.,2025-10-17T15:29:25.762145,API
136,ACC016,PRJ066,Warning,Resource constraints causing small delays.,2025-10-12T15:29:25.762148,PowerBI
137,ACC028,PRJ034,Critical,"Critical resource resignation, no backup.",2025-11-09T15:29:25.762151,API
138,ACC001,PRJ006,Warning,Major budget overrun.,2025-09-11T15:29:25.762155,Manual
139,ACC001,PRJ026,Critical,"Delyed due to vender isues, recovry planed.",2025-10-09T15:29:25.762158,PowerBI
140,ACC029,PRJ002,Critical,Stakeholder confidence severely impacted.,2025-09-14T15:29:25.762161,API
141,ACC005,PRJ047,Critical,"Budget exceeded by 40%, no additional funding.",2025-10-23T15:29:25.762164,API
142,ACC016,PRJ053,Good,"Team morale is high, deliverables exceeding expectations.",2025-09-15T15:29:25.762168,API
143,ACC050,PRJ045,Good,"Budget utilization at 75%, timeline on track.",2025-11-06T15:29:25.762171,API
144,ACC038,PRJ082,Warning,"Team capacity stretched, overtime required.",2025-09-11T15:29:25.762174,Manual
145,ACC039,PRJ092,Warning,"Budget variance at 10%, corrective action planned.",2025-11-01T15:29:25.762177,PowerBI
146,ACC023,PRJ038,Warning,"Team capacity stretched, overtime required.",2025-09-27T15:29:25.762180,API
147,ACC043,PRJ083,Warning,Delivery expected unless,2025-09-15T15:29:25.762184,PowerBI
148,ACC046,PRJ023,Good,Project ahead of schedule with excellent client feedback.,2025-11-04T15:29:25.762187,PowerBI
149,ACC012,PRJ057,Good,Everything is progressing well.,2025-11-08T15:29:25.762190,Manual
150,ACC020,PRJ007,Critical,Project at risk of cancellation.,2025-11-01T15:29:25.762194,Manual
151,ACC027,PRJ028,Good,All milestones achieved on time.,2025-10-06T15:29:25.762198,PowerBI
152,ACC035,PRJ068,Critical,"Excellent stakeholder feedback received last week. Critical bug discovered in production today. Hotfix deployed, monitoring ongoing.",2025-10-17T15:29:25.762201,Manual
153,ACC013,PRJ001,Critical,"Client escalation received, urgent intervention needed.",2025-10-23T15:29:25.762207,API
154,ACC029,PRJ074,Good,Everything is progressing well.,2025-11-18T15:29:25.762210,API
155,ACC035,PRJ031,Critical,"Financials good, schedule slipping.",2025-11-10T15:29:25.762214,API
156,ACC020,PRJ009,Good,Client satisfaction rating: 9/10.,2025-10-20T15:29:25.762217,Manual
157,ACC029,PRJ067,Critical,Key deliverable failed acceptance testing.,2025-10-17T15:29:25.762220,API
158,ACC011,PRJ025,Good,"No blockers identified, smooth execution.",2025-10-18T15:29:25.762224,PowerBI
159,ACC043,PRJ015,Warning,Communication gaps with offshore team identified.,2025-10-19T15:29:25.762227,API
160,ACC039,PRJ078,Warning,Budget is close to the limit.,2025-10-04T15:29:25.762231,API
161,ACC006,PRJ003,Critical,Key deliverable failed acceptance testing.,2025-12-01T15:29:25.762234,API
162,ACC034,PRJ077,Warning,Quality metrics slightly below target.,2025-10-16T15:29:25.762238,Manual
163,ACC010,PRJ046,Warning,"Majro budget voerun, escaltion required.",2025-11-27T15:29:25.762242,API
164,ACC044,PRJ006,Warning,Communication gaps with offshore team identified.,2025-09-06T15:29:25.762246,PowerBI
165,ACC016,PRJ063,Warning,"Excellent stakeholder feedback received last week. Critical bug discovered in production today. Hotfix deployed, monitoring ongoing.",2025-09-15T15:29:25.762249,API
166,ACC028,PRJ095,Critical,Key deliverable failed acceptance testing.,2025-09-28T15:29:25.762252,Manual
167,ACC004,PRJ077,Good,Client staisfaction rating: 9/10.,2025-11-09T15:29:25.762257,API
168,ACC001,PRJ031,Critical,Key deliverable failed acceptance testing.,2025-11-27T15:29:25.762260,Manual
169,ACC024,PRJ055,Critical,Major budget overrun.,2025-11-11T15:29:25.762263,PowerBI
170,ACC019,PRJ071,Good,"No blockers identified, smooth execution.",2025-11-09T15:29:25.762267,PowerBI
171,ACC002,PRJ034,Critical,Mostly healthy but timeline risk.,2025-09-30T15:29:25.762270,Manual
172,ACC013,PRJ027,Good,"Resources optimally allocated, efficiency improved by 15%.",2025-09-18T15:29:25.762273,API
173,ACC042,PRJ072,Warning,"Critical resource resignation, no backup.",2025-10-03T15:29:25.762278,API
174,ACC050,PRJ054,Good,On schedule and under budget.,2025-10-04T15:29:25.762282,API
175,ACC034,PRJ069,Critical,Timeline slipped significantly.,2025-09-06T15:29:25.762285,Manual
176,ACC046,PRJ046,Good,On schedule and under budget.,2025-09-03T15:29:25.762289,Manual
177,ACC022,PRJ003,Critical,Delayed vendor input despite client praise.,2025-09-25T15:29:25.762292,Manual
178,ACC029,PRJ073,Critical,Major budget overrun.,2025-09-19T15:29:25.762296,API
179,ACC042,PRJ038,Warning,Resource constraints causing small delays.,2025-10-05T15:29:25.762299,API
180,ACC038,PRJ057,Warning,Slight delays due to vendor issues.,2025-11-04T15:29:25.762302,PowerBI
181,ACC042,PRJ038,Critical,Stakeholder confidence severely impacted.,2025-11-07T15:29:25.762305,Manual
182,ACC044,PRJ014,Good,Everything is progressing well.,2025-11-13T15:29:25.762308,API
183,ACC035,PRJ070,Good,All milestones achieved on time.,2025-11-17T15:29:25.762312,API
184,ACC007,PRJ082,Good,Good progress but team morale declining.,2025-09-29T15:29:25.762315,PowerBI
185,ACC003,PRJ028,Warning,Resource constraints causing small delays.,2025-11-12T15:29:25.762318,API
186,ACC023,PRJ008,Good,Project at risk of cancellation.,2025-09-18T15:29:25.762322,API
187,ACC040,PRJ017,Warning,"Team capacity stretched, overtime required.",2025-11-27T15:29:25.762325,PowerBI
188,ACC038,PRJ092,Critical,Resources adequate though skills gap identified.,2025-10-06T15:29:25.762328,PowerBI
189,ACC049,PRJ071,Good,"Team morale is high, deliverables exceeding expectations.",2025-09-12T15:29:25.762331,Manual
190,ACC048,PRJ082,Critical,"Budget exceeded by 40%, no additional funding.",2025-10-07T15:29:25.762335,Manual
191,ACC050,PRJ093,Warning,"Client requested additional features, timeline at risk.",2025-11-15T15:29:25.762339,Manual
192,ACC035,PRJ047,Good,Evertyhing is progressing well.,2025-09-29T15:29:25.762347,API
193,ACC003,PRJ049,Warning,"Budget variance at 10%, corrective action planned.",2025-09-05T15:29:25.762350,Manual
194,ACC027,PRJ060,Critical,Resources adequate though skills gap identified.,2025-09-11T15:29:25.762353,PowerBI
195,ACC017,PRJ097,Warning,Resource constraints causing small delays.,2025-11-16T15:29:25.762357,API
196,ACC008,PRJ059,Good,Client satisfaction rating: 9/10.,2025-09-10T15:29:25.762360,Manual
197,ACC049,PRJ015,Critical,Timeline on track however the vendor,2025-10-11T15:29:25.762363,Manual
198,ACC024,PRJ002,Critical,Security vulnerability found in production.,2025-11-19T15:29:25.762367,API
199,ACC009,PRJ081,Critical,Techncially sound but stakeholder alignment poor.,2025-09-18T15:29:25.762371,Manual
200,ACC014,PRJ100,Critical,Positive stakeholder reviews across all metrics.,2025-11-16T15:29:25.762375,API
201,ACC034,PRJ030,Critical,Legal compliance issues discovered.,2025-11-14T15:29:25.762378,API
202,ACC028,PRJ078,Good,"Budget utilization at 75%, timeline on track.",2025-11-01T15:29:25.762382,Manual
203,ACC046,PRJ085,Good,"No blockers identified, smooth execution.",2025-11-06T15:29:25.762385,API
204,ACC050,PRJ058,Critical,Major budget overrun.,2025-09-03T15:29:25.762389,Manual
205,ACC027,PRJ081,Good,Clinet satisfaction rating: 9/10.,2025-10-11T15:29:25.762394,Manual
206,ACC031,PRJ043,Good,"Resources optimally allocated, efficiency improved by 15%.",2025-09-29T15:29:25.762397,API
207,ACC050,PRJ093,Critical,Major budget overrun.,2025-11-19T15:29:25.762400,API
208,ACC022,PRJ007,Good,Delivery expected unless,2025-11-23T15:29:25.762403,API
209,ACC016,PRJ021,Good,Positive stakeholder reviews across all metrics.,2025-10-06T15:29:25.762407,PowerBI
210,ACC032,PRJ047,Critical,Stakeholder confidence severely impacted.,2025-10-13T15:29:25.762410,Manual
211,ACC036,PRJ016,Good,Meeting deadlines but at cost of team burnout.,2025-09-07T15:29:25.762413,Manual
212,ACC006,PRJ006,Warning,Slight delays due to vendor issues.,2025-10-24T15:29:25.762418,API
213,ACC030,PRJ070,Warning,"Delivery on track, documentation severely lacking.",2025-09-18T15:29:25.762421,Manual
214,ACC045,PRJ052,Warning,Slight delays due to vendor issues.,2025-11-02T15:29:25.762425,Manual
215,ACC004,PRJ072,Warning,On schedule despite,2025-11-27T15:29:25.762429,Manual
216,ACC041,PRJ055,Warning,Slight delays due to vendor issues.,2025-11-08T15:29:25.762432,Manual
217,ACC031,PRJ004,Critical,Security vulnerability found in production.,2025-10-25T15:29:25.762436,API
218,ACC040,PRJ021,Critical,Major budget overrun.,2025-11-19T15:29:25.762439,API
219,ACC030,PRJ052,Warning,Resource constraints causing small delays.,2025-10-18T15:29:25.762442,PowerBI
220,ACC026,PRJ041,Good,On schedule and under budget.,2025-09-22T15:29:25.762445,PowerBI
221,ACC012,PRJ031,Good,Project ahead of schedule with excellent client feedback.,2025-11-04T15:29:25.762449,Manual
222,ACC004,PRJ047,Good,"Budget overrun by 15% due to unplanned scope expansion. Timeline extended by 3 weeks. Client approved changes, relationship stable.",2025-10-09T15:29:25.762452,PowerBI
223,ACC022,PRJ015,Good,Project Alpha is on schedule. Budget utilization at 82%. Client expressed concerns about feature completeness. Team working overtime to address gaps.,2025-09-30T15:29:25.762456,API
224,ACC012,PRJ029,Good,Phase 2 complete. Phase 3 kickoff delayed pending client sign-off. Resource transition planned for next sprint. Budget healthy.,2025-09-18T15:29:25.762459,PowerBI
225,ACC018,PRJ025,Warning,"Stakholdr concrens addressed, monitring closely.",2025-09-19T15:29:25.762462,PowerBI
226,ACC043,PRJ073,Critical,Stakeholder confidence severely impacte.d,2025-11-10T15:29:25.762469,API
227,ACC034,PRJ023,Good,On schedule and under budget.,2025-09-21T15:29:25.762473,API
228,ACC006,PRJ044,Good,Client satisfaction rating: 9/10.,2025-09-29T15:29:25.762476,API
229,ACC011,PRJ020,Warning,Quality metrics slightly below target.,2025-11-11T15:29:25.762480,Manual
230,ACC016,PRJ040,Good,"Resources optimally allocated, efficiency improved by 15%.",2025-11-05T15:29:25.762483,PowerBI
231,ACC038,PRJ041,Critical,Security vulnerability found in production.,2025-10-23T15:29:25.762487,Manual
232,ACC006,PRJ016,Good,"Resources optimally allocated, efficiency improved by 15%.",2025-10-20T15:29:25.762491,Manual
233,ACC031,PRJ032,Warning,Slight delays due to vendor issues.,2025-09-20T15:29:25.762494,API
234,ACC001,PRJ043,Good,On schedule and under budget.,2025-11-14T15:29:25.762497,Manual
235,ACC011,PRJ043,Good,"Resources optimally allocated, efficiency improved by 15%.",2025-09-09T15:29:25.762501,PowerBI
236,ACC035,PRJ038,Critical,Metrics look positive however client raised concerns.,2025-11-23T15:29:25.762504,API
237,ACC003,PRJ042,Good,"Budget utilization at 75%, timeline on track.",2025-09-29T15:29:25.762507,Manual
238,ACC048,PRJ057,Good,Positive stakeholder reviews across all metrics.,2025-10-19T15:29:25.762510,PowerBI
239,ACC006,PRJ100,Critical,"Excellent feedback from client, internal issues though.",2025-10-20T15:29:25.762514,PowerBI
240,ACC048,PRJ019,Good,Mostly healthy but timeline risk.,2025-09-08T15:29:25.762517,PowerBI
241,ACC018,PRJ053,Warning,Timeline on track however the vendor,2025-10-24T15:29:25.762520,PowerBI
242,ACC028,PRJ004,Good,Client satisfaction rating: 9/10.,2025-10-28T15:29:25.762524,API
243,ACC014,PRJ018,Critical,On track overlal but budget concerns emerging.,2025-11-07T15:29:25.762528,PowerBI
244,ACC037,PRJ013,Warning,"Team capacity stretched, overtime required.",2025-10-19T15:29:25.762532,API
245,ACC047,PRJ098,Critical,Key deliverable failed acceptance testing.,2025-11-11T15:29:25.762544,PowerBI
246,ACC035,PRJ076,Critical,Stakeholder confidence severely impacted.,2025-09-07T15:29:25.762548,API
247,ACC050,PRJ080,Good,Resources fully allocated. Team morale high despite tight deadlines. Quality metrics meeting targets. Minor scope changes requested by client.,2025-10-20T15:29:25.762552,PowerBI
248,ACC018,PRJ077,Warning,"Team morale is high, deliverables exceeding expectations.",2025-09-29T15:29:25.762555,API
249,ACC014,PRJ017,Warning,Third-party dependency delayed by 2 weeks.,2025-10-29T15:29:25.762559,API
250,ACC007,PRJ083,Critical,"Excellent feedback from client, internal issues though.",2025-10-21T15:29:25.762562,PowerBI
251,ACC024,PRJ095,Good,Mostly healthy but timeline risk.,2025-09-28T15:29:25.762566,Manual
252,ACC037,PRJ031,Warning,Metrics look positive however client raised concerns.,2025-10-09T15:29:25.762570,Manual
253,ACC038,PRJ025,Good,Project ahead of schedule with excellent client feedback.,2025-09-10T15:29:25.762573,API
254,ACC013,PRJ074,Warning,"Financials good, schedule slipping.",2025-11-21T15:29:25.762577,API
255,ACC002,PRJ077,Good,"Client escalation received, urgent interventino needed.",2025-09-18T15:29:25.762582,API
256,ACC004,PRJ078,Warning,"Minor scope creep detected, monitoring closely.",2025-10-02T15:29:25.762585,Manual
257,ACC023,PRJ020,Warning,Budget is close to the limit.,2025-10-07T15:29:25.762588,PowerBI
258,ACC025,PRJ090,Critical,"Budget variance at 10%, corrective action planned.",2025-11-18T15:29:25.762592,API
259,ACC034,PRJ078,Warning,"Budget variance at 10%, corrective action planned.",2025-11-12T15:29:25.762596,Manual
260,ACC031,PRJ061,Critical,Legal compliance issues discovered.,2025-11-24T15:29:25.762599,Manual
